iter	Passed	Remaining
0	145	145777
1	149	74505
2	152	50662
3	155	38679
4	157	31426
5	160	26600
6	163	23138
7	165	20558
8	168	18541
9	170	16918
10	173	15589
11	175	14485
12	178	13553
13	180	12745
14	183	12036
15	185	11420
16	188	10872
17	190	10400
18	192	9960
19	195	9571
20	197	9213
21	199	8884
22	202	8588
23	204	8316
24	206	8069
25	209	7836
26	211	7618
27	213	7419
28	216	7234
29	218	7058
30	220	6894
31	222	6741
32	225	6598
33	227	6466
34	229	6337
35	232	6220
36	234	6104
37	237	6005
38	239	5901
39	241	5803
40	244	5709
41	246	5623
42	248	5535
43	251	5456
44	253	5382
45	255	5308
46	258	5236
47	260	5167
48	262	5101
49	265	5038
50	267	4978
51	269	4918
52	272	4860
53	274	4805
54	276	4755
55	278	4702
56	281	4653
57	283	4606
58	285	4560
59	288	4514
60	290	4472
61	292	4430
62	295	4389
63	297	4349
64	299	4311
65	302	4275
66	304	4237
67	306	4201
68	308	4165
69	310	4131
70	313	4098
71	315	4068
72	317	4036
73	320	4006
74	322	3977
75	324	3948
76	327	3919
77	329	3896
78	332	3877
79	335	3855
80	337	3831
81	340	3809
82	342	3786
83	345	3764
84	347	3740
85	349	3717
86	352	3696
87	354	3673
88	356	3651
89	359	3632
90	361	3612
91	363	3591
92	366	3571
93	368	3551
94	370	3531
95	372	3511
96	375	3493
97	377	3476
98	379	3458
99	382	3439
100	384	3422
101	386	3404
102	389	3388
103	391	3371
104	393	3354
105	395	3338
106	397	3321
107	400	3307
108	402	3292
109	405	3277
110	407	3262
111	409	3247
112	411	3233
113	414	3219
114	416	3205
115	418	3192
116	421	3179
117	423	3167
118	426	3154
119	428	3142
120	430	3129
121	433	3116
122	435	3104
123	437	3091
124	439	3079
125	442	3067
126	444	3054
127	446	3043
128	449	3034
129	451	3022
130	453	3011
131	456	3000
132	458	2990
133	460	2979
134	463	2968
135	465	2958
136	468	2951
137	470	2941
138	473	2930
139	475	2920
140	477	2910
141	480	2900
142	482	2891
143	484	2881
144	486	2871
145	489	2861
146	491	2852
147	493	2843
148	496	2833
149	498	2824
150	500	2816
151	503	2807
152	505	2797
153	507	2788
154	509	2779
155	512	2772
156	514	2764
157	517	2757
158	519	2749
159	521	2740
160	524	2731
161	526	2723
162	529	2717
163	531	2711
164	534	2705
165	537	2698
166	539	2690
167	541	2683
168	544	2676
169	546	2668
170	548	2661
171	550	2652
172	553	2645
173	555	2638
174	558	2630
175	560	2623
176	562	2616
177	565	2609
178	567	2602
179	569	2595
180	572	2588
181	574	2583
182	577	2576
183	579	2570
184	581	2562
185	583	2555
186	586	2549
187	588	2542
188	591	2536
189	593	2530
190	595	2524
191	598	2517
192	600	2511
193	602	2504
194	604	2497
195	607	2491
196	609	2485
197	612	2479
198	614	2472
199	616	2466
200	619	2460
201	621	2454
202	623	2448
203	626	2442
204	628	2437
205	631	2432
206	633	2426
207	635	2421
208	639	2418
209	641	2412
210	643	2407
211	646	2402
212	648	2396
213	650	2390
214	653	2386
215	656	2381
216	658	2375
217	660	2369
218	662	2363
219	665	2358
220	667	2353
221	669	2347
222	672	2342
223	674	2337
224	676	2331
225	679	2326
226	681	2320
227	683	2315
228	686	2310
229	688	2305
230	691	2300
231	693	2295
232	695	2289
233	697	2284
234	700	2279
235	702	2274
236	704	2268
237	706	2261
238	708	2256
239	710	2250
240	713	2246
241	716	2243
242	718	2238
243	720	2232
244	723	2228
245	725	2224
246	728	2220
247	730	2215
248	732	2210
249	735	2205
250	736	2198
251	738	2193
252	741	2188
253	743	2183
254	746	2179
255	748	2175
256	750	2170
257	753	2165
258	755	2160
259	756	2153
260	758	2148
261	761	2144
262	763	2139
263	766	2135
264	768	2130
265	770	2126
266	772	2121
267	775	2117
268	777	2113
269	780	2109
270	782	2104
271	784	2100
272	786	2095
273	789	2091
274	791	2086
275	793	2082
276	796	2078
277	798	2074
278	800	2069
279	803	2065
280	805	2061
281	808	2057
282	810	2053
283	812	2048
284	814	2044
285	817	2040
286	819	2036
287	822	2032
288	824	2028
289	827	2025
290	829	2022
291	832	2017
292	834	2013
293	837	2010
294	839	2006
295	841	2002
296	844	1998
297	846	1993
298	848	1989
299	851	1985
300	853	1982
301	856	1978
302	858	1974
303	860	1970
304	862	1966
305	865	1962
306	867	1958
307	870	1954
308	872	1951
309	874	1947
310	877	1943
311	879	1939
312	881	1935
313	884	1931
314	886	1927
315	888	1923
316	891	1920
317	893	1916
318	895	1912
319	897	1908
320	900	1904
321	902	1900
322	904	1896
323	906	1892
324	909	1888
325	911	1884
326	913	1880
327	916	1877
328	918	1873
329	921	1870
330	923	1866
331	925	1863
332	928	1859
333	930	1855
334	932	1852
335	935	1848
336	937	1844
337	939	1840
338	942	1837
339	944	1833
340	946	1830
341	949	1826
342	951	1822
343	953	1818
344	956	1815
345	958	1811
346	961	1809
347	964	1806
348	966	1802
349	968	1798
350	971	1795
351	973	1791
352	975	1788
353	977	1784
354	980	1780
355	982	1777
356	984	1774
357	987	1770
358	989	1767
359	991	1763
360	994	1760
361	996	1756
362	998	1752
363	1001	1749
364	1003	1745
365	1005	1742
366	1008	1738
367	1010	1735
368	1012	1731
369	1014	1728
370	1017	1724
371	1019	1720
372	1022	1718
373	1025	1715
374	1027	1713
375	1030	1710
376	1033	1707
377	1035	1704
378	1038	1701
379	1040	1698
380	1043	1695
381	1046	1692
382	1048	1689
383	1052	1687
384	1054	1684
385	1057	1681
386	1059	1678
387	1062	1675
388	1064	1671
389	1066	1668
390	1069	1665
391	1071	1662
392	1074	1658
393	1076	1655
394	1078	1652
395	1081	1648
396	1083	1645
397	1085	1642
398	1088	1639
399	1090	1636
400	1093	1632
401	1095	1629
402	1098	1627
403	1100	1623
404	1102	1620
405	1105	1617
406	1107	1613
407	1109	1610
408	1112	1607
409	1114	1604
410	1117	1601
411	1119	1598
412	1122	1594
413	1124	1591
414	1126	1588
415	1129	1585
416	1131	1581
417	1133	1578
418	1135	1574
419	1137	1571
420	1140	1567
421	1142	1564
422	1144	1561
423	1147	1558
424	1149	1555
425	1151	1551
426	1154	1548
427	1156	1545
428	1158	1542
429	1160	1538
430	1163	1535
431	1164	1531
432	1167	1528
433	1169	1525
434	1172	1522
435	1174	1519
436	1177	1516
437	1179	1513
438	1181	1510
439	1184	1506
440	1186	1503
441	1188	1500
442	1190	1497
443	1193	1494
444	1195	1491
445	1197	1488
446	1200	1484
447	1202	1481
448	1204	1478
449	1207	1475
450	1209	1472
451	1211	1468
452	1214	1466
453	1216	1463
454	1218	1459
455	1221	1456
456	1223	1453
457	1226	1450
458	1228	1447
459	1230	1444
460	1232	1441
461	1235	1438
462	1237	1435
463	1240	1432
464	1242	1429
465	1244	1426
466	1247	1423
467	1249	1420
468	1251	1417
469	1254	1414
470	1256	1411
471	1258	1407
472	1260	1404
473	1263	1401
474	1265	1398
475	1267	1395
476	1270	1392
477	1272	1389
478	1274	1386
479	1276	1383
480	1279	1380
481	1281	1377
482	1283	1374
483	1286	1371
484	1288	1368
485	1290	1365
486	1292	1361
487	1295	1359
488	1297	1356
489	1299	1353
490	1302	1350
491	1304	1347
492	1307	1344
493	1309	1341
494	1312	1339
495	1315	1336
496	1318	1333
497	1320	1331
498	1323	1328
499	1325	1325
500	1327	1322
501	1330	1319
502	1332	1316
503	1334	1313
504	1337	1310
505	1339	1307
506	1341	1304
507	1344	1301
508	1346	1298
509	1348	1295
510	1350	1292
511	1353	1289
512	1355	1286
513	1358	1284
514	1360	1281
515	1362	1278
516	1364	1275
517	1367	1272
518	1369	1269
519	1371	1266
520	1374	1263
521	1376	1260
522	1378	1257
523	1380	1254
524	1383	1251
525	1385	1248
526	1387	1245
527	1389	1242
528	1392	1239
529	1394	1236
530	1396	1233
531	1398	1230
532	1401	1227
533	1403	1224
534	1405	1221
535	1408	1219
536	1410	1216
537	1413	1213
538	1415	1210
539	1417	1207
540	1419	1204
541	1422	1201
542	1424	1198
543	1426	1196
544	1429	1193
545	1431	1190
546	1433	1187
547	1436	1184
548	1438	1181
549	1440	1178
550	1442	1175
551	1445	1172
552	1447	1169
553	1449	1167
554	1452	1164
555	1454	1161
556	1456	1158
557	1459	1155
558	1461	1152
559	1463	1150
560	1466	1147
561	1468	1144
562	1470	1141
563	1472	1138
564	1475	1135
565	1477	1132
566	1480	1130
567	1482	1127
568	1485	1124
569	1487	1122
570	1490	1119
571	1492	1116
572	1494	1113
573	1496	1110
574	1499	1108
575	1501	1105
576	1503	1102
577	1506	1099
578	1508	1097
579	1511	1094
580	1513	1091
581	1515	1088
582	1518	1086
583	1520	1083
584	1522	1080
585	1525	1077
586	1527	1074
587	1529	1071
588	1532	1069
589	1534	1066
590	1536	1063
591	1538	1060
592	1541	1057
593	1543	1054
594	1545	1052
595	1548	1049
596	1550	1046
597	1552	1043
598	1554	1040
599	1557	1038
600	1560	1035
601	1562	1032
602	1564	1030
603	1566	1027
604	1569	1024
605	1571	1021
606	1574	1019
607	1576	1016
608	1578	1013
609	1581	1011
610	1583	1008
611	1585	1005
612	1588	1002
613	1590	999
614	1592	997
615	1595	994
616	1597	991
617	1599	988
618	1601	986
619	1604	983
620	1607	980
621	1609	978
622	1611	975
623	1614	972
624	1616	969
625	1619	967
626	1621	964
627	1624	961
628	1626	959
629	1628	956
630	1630	953
631	1633	951
632	1635	948
633	1637	945
634	1640	942
635	1642	940
636	1644	937
637	1647	934
638	1649	931
639	1651	929
640	1653	926
641	1656	923
642	1658	920
643	1660	918
644	1662	915
645	1665	912
646	1667	909
647	1669	906
648	1672	904
649	1674	901
650	1676	898
651	1678	896
652	1681	893
653	1683	890
654	1685	887
655	1687	885
656	1690	882
657	1692	879
658	1694	876
659	1697	874
660	1699	871
661	1701	868
662	1704	866
663	1706	863
664	1708	860
665	1711	858
666	1713	855
667	1716	853
668	1718	850
669	1720	847
670	1723	844
671	1725	842
672	1727	839
673	1729	836
674	1732	833
675	1734	831
676	1736	828
677	1738	825
678	1741	823
679	1743	820
680	1745	817
681	1748	815
682	1750	812
683	1752	809
684	1754	807
685	1757	804
686	1759	801
687	1761	798
688	1764	796
689	1766	793
690	1768	790
691	1771	788
692	1773	785
693	1775	782
694	1777	780
695	1780	777
696	1782	774
697	1784	772
698	1786	769
699	1789	766
700	1791	764
701	1793	761
702	1796	758
703	1798	756
704	1801	753
705	1803	751
706	1806	748
707	1808	745
708	1811	743
709	1813	740
710	1815	738
711	1818	735
712	1820	732
713	1822	730
714	1825	727
715	1827	724
716	1830	722
717	1832	719
718	1834	717
719	1836	714
720	1839	711
721	1841	709
722	1843	706
723	1846	703
724	1848	701
725	1850	698
726	1853	695
727	1855	693
728	1857	690
729	1860	688
730	1862	685
731	1864	682
732	1867	680
733	1870	677
734	1872	675
735	1874	672
736	1877	669
737	1879	667
738	1881	664
739	1883	661
740	1886	659
741	1888	656
742	1890	654
743	1893	651
744	1895	648
745	1897	646
746	1900	643
747	1903	641
748	1905	638
749	1907	635
750	1910	633
751	1912	630
752	1915	628
753	1917	625
754	1919	622
755	1921	620
756	1924	617
757	1926	615
758	1929	612
759	1931	609
760	1933	607
761	1936	604
762	1938	602
763	1940	599
764	1943	596
765	1945	594
766	1947	591
767	1950	589
768	1952	586
769	1954	583
770	1957	581
771	1959	578
772	1961	576
773	1964	573
774	1966	570
775	1969	568
776	1971	565
777	1973	563
778	1976	560
779	1978	558
780	1980	555
781	1983	552
782	1985	550
783	1987	547
784	1990	545
785	1992	542
786	1994	539
787	1997	537
788	1999	534
789	2002	532
790	2004	529
791	2007	527
792	2009	524
793	2012	522
794	2014	519
795	2017	516
796	2019	514
797	2022	511
798	2024	509
799	2027	506
800	2029	504
801	2031	501
802	2034	499
803	2036	496
804	2039	493
805	2041	491
806	2043	488
807	2046	486
808	2048	483
809	2050	481
810	2052	478
811	2055	475
812	2057	473
813	2059	470
814	2062	468
815	2064	465
816	2066	462
817	2069	460
818	2071	457
819	2073	455
820	2076	452
821	2078	450
822	2080	447
823	2083	445
824	2086	442
825	2088	439
826	2090	437
827	2093	434
828	2095	432
829	2098	429
830	2100	427
831	2102	424
832	2105	422
833	2107	419
834	2110	416
835	2112	414
836	2114	411
837	2117	409
838	2119	406
839	2121	404
840	2124	401
841	2126	399
842	2128	396
843	2131	393
844	2133	391
845	2135	388
846	2138	386
847	2140	383
848	2142	381
849	2145	378
850	2147	376
851	2150	373
852	2152	370
853	2154	368
854	2157	365
855	2159	363
856	2161	360
857	2164	358
858	2166	355
859	2168	353
860	2170	350
861	2173	347
862	2175	345
863	2177	342
864	2180	340
865	2182	337
866	2185	335
867	2187	332
868	2189	330
869	2192	327
870	2194	325
871	2197	322
872	2199	319
873	2201	317
874	2204	314
875	2206	312
876	2208	309
877	2211	307
878	2213	304
879	2215	302
880	2217	299
881	2220	297
882	2222	294
883	2224	291
884	2227	289
885	2229	286
886	2231	284
887	2234	281
888	2236	279
889	2238	276
890	2241	274
891	2243	271
892	2245	269
893	2248	266
894	2250	264
895	2252	261
896	2255	259
897	2258	256
898	2260	253
899	2262	251
900	2264	248
901	2267	246
902	2269	243
903	2271	241
904	2274	238
905	2276	236
906	2278	233
907	2281	231
908	2283	228
909	2285	226
910	2288	223
911	2290	221
912	2293	218
913	2295	215
914	2298	213
915	2300	210
916	2302	208
917	2305	205
918	2307	203
919	2309	200
920	2312	198
921	2314	195
922	2317	193
923	2319	190
924	2321	188
925	2323	185
926	2326	183
927	2328	180
928	2330	178
929	2333	175
930	2335	173
931	2337	170
932	2340	168
933	2342	165
934	2344	163
935	2347	160
936	2349	157
937	2351	155
938	2353	152
939	2356	150
940	2358	147
941	2361	145
942	2363	142
943	2365	140
944	2368	137
945	2370	135
946	2372	132
947	2375	130
948	2377	127
949	2379	125
950	2381	122
951	2384	120
952	2386	117
953	2389	115
954	2392	112
955	2394	110
956	2396	107
957	2399	105
958	2401	102
959	2403	100
960	2406	97
961	2408	95
962	2411	92
963	2413	90
964	2415	87
965	2418	85
966	2420	82
967	2423	80
968	2425	77
969	2427	75
970	2430	72
971	2432	70
972	2434	67
973	2437	65
974	2439	62
975	2442	60
976	2444	57
977	2446	55
978	2448	52
979	2451	50
980	2453	47
981	2455	45
982	2458	42
983	2460	40
984	2462	37
985	2464	34
986	2467	32
987	2469	29
988	2472	27
989	2474	24
990	2476	22
991	2479	19
992	2481	17
993	2484	14
994	2486	12
995	2488	9
996	2491	7
997	2493	4
998	2495	2
999	2498	0
